trip,route,clients,sailling times,berth start,berth time
17,8,"[81, 39, 110, 43]","[7.36, 0.63, 1.16, 2.04, 7.38]",107.0,14.0
18,9,"[22, 107, 35, 76, 73, 72]","[4.97, 1.24, 0.29, 1.86, 0.38, 0.41, 8.05]",43.0,14.0
19,9,"[22, 107, 35, 76, 73, 72]","[4.97, 1.24, 0.29, 1.86, 0.38, 0.41, 8.05]",127.0,14.0
20,10,"[67, 99, 104, 10, 15, 66, 94]","[9.49, 0.55, 0.51, 1.12, 0.71, 1.62, 2.43, 7.69]",3.0,14.0
21,10,"[67, 99, 104, 10, 15, 66, 94]","[9.49, 0.55, 0.51, 1.12, 0.71, 1.62, 2.43, 7.69]",87.0,14.0
22,11,"[98, 100, 13, 20, 38, 51]","[9.01, 0.22, 1.08, 1.97, 0.44, 0.78, 7.26]",52.0,14.0
23,11,"[98, 100, 13, 20, 38, 51]","[9.01, 0.22, 1.08, 1.97, 0.44, 0.78, 7.26]",136.0,14.0
24,12,"[108, 60, 41, 21, 26]","[8.29, 0.75, 0.45, 0.89, 0.52, 6.55]",72.0,14.0
25,12,"[108, 60, 41, 21, 26]","[8.29, 0.75, 0.45, 0.89, 0.52, 6.55]",156.0,14.0
26,13,"[45, 103, 88, 5, 80, 74]","[8.83, 2.6, 2.31, 0.54, 0.67, 0.15, 8.31]",10.0,14.0
27,13,"[45, 103, 88, 5, 80, 74]","[8.83, 2.6, 2.31, 0.54, 0.67, 0.15, 8.31]",94.0,14.0
28,14,"[6, 58, 93, 83, 50]","[6.83, 0.71, 0.96, 0.55, 0.76, 7.98]",63.0,14.0
29,14,"[6, 58, 93, 83, 50]","[6.83, 0.71, 0.96, 0.55, 0.76, 7.98]",147.0,14.0
30,15,"[55, 17, 75, 4, 90]","[7.92, 1.3, 0.34, 0.26, 0.75, 6.81]",31.0,14.0
31,15,"[55, 17, 75, 4, 90]","[7.92, 1.3, 0.34, 0.26, 0.75, 6.81]",115.0,14.0
32,16,"[2, 118, 40, 16, 3, 57, 19]","[7.42, 0.57, 1.62, 0.57, 0.49, 2.25, 0.77, 4.49]",62.0,14.0
33,16,"[2, 118, 40, 16, 3, 57, 19]","[7.42, 0.57, 1.62, 0.57, 0.49, 2.25, 0.77, 4.49]",146.0,14.0
34,17,"[117, 78, 64, 52, 79, 56]","[7.45, 2.27, 7.06, 1.14, 0.79, 0.64, 6.63]",36.0,14.0
35,17,"[117, 78, 64, 52, 79, 56]","[7.45, 2.27, 7.06, 1.14, 0.79, 0.64, 6.63]",120.0,14.0
36,18,"[89, 31, 14, 53]","[8.28, 1.27, 0.52, 0.9, 9.62]",54.0,14.0
37,18,"[89, 31, 14, 53]","[8.28, 1.27, 0.52, 0.9, 9.62]",138.0,14.0
38,19,"[65, 54, 42, 85, 111, 115]","[7.59, 1.35, 1.0, 0.69, 0.21, 1.22, 4.7]",74.0,14.0
39,19,"[65, 54, 42, 85, 111, 115]","[7.59, 1.35, 1.0, 0.69, 0.21, 1.22, 4.7]",158.0,14.0
40,20,"[37, 23, 116, 105, 7, 1]","[7.4, 0.07, 1.52, 1.79, 1.48, 3.9, 6.33]",20.0,14.0
41,20,"[37, 23, 116, 105, 7, 1]","[7.4, 0.07, 1.52, 1.79, 1.48, 3.9, 6.33]",104.0,14.0
42,21,"[46, 114, 70, 96]","[6.47, 2.65, 1.39, 0.32, 8.69]",53.0,14.0
43,21,"[46, 114, 70, 96]","[6.47, 2.65, 1.39, 0.32, 8.69]",137.0,14.0
44,22,"[113, 32, 112, 68]","[7.84, 1.42, 2.42, 0.27, 5.3]",13.0,14.0
45,22,"[113, 32, 112, 68]","[7.84, 1.42, 2.42, 0.27, 5.3]",97.0,14.0
