trip,route,clients,sailling times,berth start,berth time
16,8,"[33, 61, 113, 118, 8, 11, 112]","[7.37, 2.81, 1.05, 0.76, 1.77, 3.37, 3.35, 7.16]",32.0,14.0
17,8,"[33, 61, 113, 118, 8, 11, 112]","[7.37, 2.81, 1.05, 0.76, 1.77, 3.37, 3.35, 7.16]",116.0,14.0
18,9,"[46, 108, 114, 72, 70]","[7.55, 2.85, 1.34, 1.44, 1.07, 8.58]",2.0,14.0
19,9,"[46, 108, 114, 72, 70]","[7.55, 2.85, 1.34, 1.44, 1.07, 8.58]",86.0,14.0
20,10,"[29, 6, 91, 84, 62]","[8.82, 1.75, 0.23, 2.53, 2.1, 9.93]",17.0,14.0
21,10,"[29, 6, 91, 84, 62]","[8.82, 1.75, 0.23, 2.53, 2.1, 9.93]",101.0,14.0
22,11,"[96, 15, 45, 42, 53]","[5.9, 0.28, 1.26, 2.68, 3.96, 8.68]",4.0,14.0
23,11,"[96, 15, 45, 42, 53]","[5.9, 0.28, 1.26, 2.68, 3.96, 8.68]",88.0,14.0
24,12,"[92, 5, 7, 50, 100]","[8.61, 0.42, 2.22, 0.66, 2.65, 6.34]",27.0,14.0
25,12,"[92, 5, 7, 50, 100]","[8.61, 0.42, 2.22, 0.66, 2.65, 6.34]",111.0,14.0
26,13,"[77, 54, 41, 119]","[7.51, 0.93, 0.22, 0.28, 7.93]",36.0,14.0
27,13,"[77, 54, 41, 119]","[7.51, 0.93, 0.22, 0.28, 7.93]",120.0,14.0
28,14,"[2, 39, 74, 79, 14]","[7.93, 0.67, 0.69, 1.08, 0.4, 8.69]",57.0,14.0
29,14,"[2, 39, 74, 79, 14]","[7.93, 0.67, 0.69, 1.08, 0.4, 8.69]",141.0,14.0
30,15,"[55, 22, 13, 47]","[7.74, 4.35, 1.37, 0.94, 7.24]",17.0,14.0
31,15,"[55, 22, 13, 47]","[7.74, 4.35, 1.37, 0.94, 7.24]",101.0,14.0
32,16,"[35, 40, 102, 0, 80]","[5.65, 0.24, 2.74, 0.62, 1.56, 6.9]",30.0,14.0
33,16,"[35, 40, 102, 0, 80]","[5.65, 0.24, 2.74, 0.62, 1.56, 6.9]",114.0,14.0
34,17,"[65, 36, 86, 9, 106, 23, 93]","[7.4, 3.63, 2.72, 0.62, 0.15, 1.04, 0.58, 6.36]",13.0,14.0
35,17,"[65, 36, 86, 9, 106, 23, 93]","[7.4, 3.63, 2.72, 0.62, 0.15, 1.04, 0.58, 6.36]",97.0,14.0
36,18,"[1, 76, 73, 32, 49, 31]","[7.16, 0.17, 0.79, 2.58, 0.96, 0.82, 9.88]",19.0,14.0
37,18,"[1, 76, 73, 32, 49, 31]","[7.16, 0.17, 0.79, 2.58, 0.96, 0.82, 9.88]",103.0,14.0
38,19,"[81, 103, 63, 95]","[7.7, 1.07, 0.74, 0.52, 8.17]",34.0,14.0
39,19,"[81, 103, 63, 95]","[7.7, 1.07, 0.74, 0.52, 8.17]",118.0,14.0
40,20,"[19, 16, 12, 44, 117, 21, 56]","[6.71, 1.05, 2.11, 0.19, 0.33, 0.3, 0.75, 7.39]",13.0,14.0
41,20,"[19, 16, 12, 44, 117, 21, 56]","[6.71, 1.05, 2.11, 0.19, 0.33, 0.3, 0.75, 7.39]",97.0,14.0
42,21,"[3, 88, 18, 90]","[7.07, 0.19, 3.0, 0.53, 6.82]",59.0,14.0
43,21,"[3, 88, 18, 90]","[7.07, 0.19, 3.0, 0.53, 6.82]",143.0,14.0
